genus_id	institution_id	category_id	image_id	scientificName	family	genus	species	authors
15	0	79	00079__001	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	0	79	00079__002	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	0	79	00079__004	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	0	79	00079__005	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	0	79	00079__008	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__009	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__010	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__012	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__013	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__014	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__016	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__017	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	21	79	00079__018	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	35	79	00079__019	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__020	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__021	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__022	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__024	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__025	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__027	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__028	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__030	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__031	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__032	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__033	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__034	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__035	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__036	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
15	36	79	00079__037	Acer circinatum Pursh	Sapindaceae	Acer	circinatum	Pursh
